eq_id;system;item;target_quantity;unit;target_parameter;status;verification;source;proposed_zone;interface_ids;service_access;mass_kg;dimensions_mm;rated_electric_power_w;start_peak_w;daily_energy_wh;installed_state;procurement_state
EQ-016;GENERATION;Акустические капсулы и виброопоры генераторов;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Generator plant;"M02/M03 раздельные сервисные места генераторов; HYPOTHESIS_NOT_POSITIONED";IF-02 IF-03 IF-05 IF-06;"Крышки капсул полностью открываются; фильтры/ремни доступны; каждый агрегат извлекается независимо";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-017;GENERATION;Управление выбором AC источника и сбросом нагрузок;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Generator plant;"M02/M03 раздельные сервисные места генераторов; HYPOTHESIS_NOT_POSITIONED";IF-02 IF-03 IF-05 IF-06;"Крышки капсул полностью открываются; фильтры/ремни доступны; каждый агрегат извлекается независимо";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-018;ELECTRICAL;Сервисная DC распределительная система;UNKNOWN;шт/комплект — уточнить комплектность;24 VDC;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Electrical architecture;"E01 сухое электротехническое пространство; стартовые цепи локально; HYPOTHESIS_NOT_POSITIONED";IF-05 IF-06 IF-07 IF-08 IF-09;"Снять АКБ/инвертор без мебели; доступ к отключению и защитам; исключить капли из водяных узлов сверху";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-019;ELECTRICAL;Гостиничная AC распределительная система;UNKNOWN;шт/комплект — уточнить комплектность;230 VAC / 50 Hz;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Electrical architecture;"E01 сухое электротехническое пространство; стартовые цепи локально; HYPOTHESIS_NOT_POSITIONED";IF-05 IF-06 IF-07 IF-08 IF-09;"Снять АКБ/инвертор без мебели; доступ к отключению и защитам; исключить капли из водяных узлов сверху";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-020;ELECTRICAL;Стартовый банк главного двигателя;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Electrical architecture;"E01 сухое электротехническое пространство; стартовые цепи локально; HYPOTHESIS_NOT_POSITIONED";IF-05 IF-06 IF-07 IF-08 IF-09;"Снять АКБ/инвертор без мебели; доступ к отключению и защитам; исключить капли из водяных узлов сверху";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-021;ELECTRICAL;Стартовый банк генератора №1;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Electrical architecture;"E01 сухое электротехническое пространство; стартовые цепи локально; HYPOTHESIS_NOT_POSITIONED";IF-05 IF-06 IF-07 IF-08 IF-09;"Снять АКБ/инвертор без мебели; доступ к отключению и защитам; исключить капли из водяных узлов сверху";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-022;ELECTRICAL;Стартовый банк генератора №2;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Electrical architecture;"E01 сухое электротехническое пространство; стартовые цепи локально; HYPOTHESIS_NOT_POSITIONED";IF-05 IF-06 IF-07 IF-08 IF-09;"Снять АКБ/инвертор без мебели; доступ к отключению и защитам; исключить капли из водяных узлов сверху";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-023;ELECTRICAL;Литиевый сервисный банк с BMS и защитами;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Electrical architecture;"E01 сухое электротехническое пространство; стартовые цепи локально; HYPOTHESIS_NOT_POSITIONED";IF-05 IF-06 IF-07 IF-08 IF-09;"Снять АКБ/инвертор без мебели; доступ к отключению и защитам; исключить капли из водяных узлов сверху";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-024;ELECTRICAL;Инвертор/зарядное устройство №1;1;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Electrical architecture;"E01 сухое электротехническое пространство; стартовые цепи локально; HYPOTHESIS_NOT_POSITIONED";IF-05 IF-06 IF-07 IF-08 IF-09;"Снять АКБ/инвертор без мебели; доступ к отключению и защитам; исключить капли из водяных узлов сверху";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-025;ELECTRICAL;Инвертор/зарядное устройство №2;1;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Electrical architecture;"E01 сухое электротехническое пространство; стартовые цепи локально; HYPOTHESIS_NOT_POSITIONED";IF-05 IF-06 IF-07 IF-08 IF-09;"Снять АКБ/инвертор без мебели; доступ к отключению и защитам; исключить капли из водяных узлов сверху";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-026;ELECTRICAL;Береговой ввод соединители кабель защита;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Electrical architecture;"E01 сухое электротехническое пространство; стартовые цепи локально; HYPOTHESIS_NOT_POSITIONED";IF-05 IF-06 IF-07 IF-08 IF-09;"Снять АКБ/инвертор без мебели; доступ к отключению и защитам; исключить капли из водяных узлов сверху";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-027;ELECTRICAL;Разделительный трансформатор/подготовка берегового питания;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Electrical architecture;"E01 сухое электротехническое пространство; стартовые цепи локально; HYPOTHESIS_NOT_POSITIONED";IF-05 IF-06 IF-07 IF-08 IF-09;"Снять АКБ/инвертор без мебели; доступ к отключению и защитам; исключить капли из водяных узлов сверху";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-028;ELECTRICAL;Отдельная шина жизненно важных DC потребителей;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Electrical architecture;"E01 сухое электротехническое пространство; стартовые цепи локально; HYPOTHESIS_NOT_POSITIONED";IF-05 IF-06 IF-07 IF-08 IF-09;"Снять АКБ/инвертор без мебели; доступ к отключению и защитам; исключить капли из водяных узлов сверху";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-029;ELECTRICAL;UPS навигации сети управления;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Electrical architecture;"E01 сухое электротехническое пространство; стартовые цепи локально; HYPOTHESIS_NOT_POSITIONED";IF-05 IF-06 IF-07 IF-08 IF-09;"Снять АКБ/инвертор без мебели; доступ к отключению и защитам; исключить капли из водяных узлов сверху";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-030;ELECTRICAL;Цифровая коммутация с ручным местным обходом;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Electrical architecture;"E01 сухое электротехническое пространство; стартовые цепи локально; HYPOTHESIS_NOT_POSITIONED";IF-05 IF-06 IF-07 IF-08 IF-09;"Снять АКБ/инвертор без мебели; доступ к отключению и защитам; исключить капли из водяных узлов сверху";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-031;ELECTRICAL;Центральный мониторинг датчики тревог;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Electrical architecture;"E01 сухое электротехническое пространство; стартовые цепи локально; HYPOTHESIS_NOT_POSITIONED";IF-05 IF-06 IF-07 IF-08 IF-09;"Снять АКБ/инвертор без мебели; доступ к отключению и защитам; исключить капли из водяных узлов сверху";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-032;ELECTRICAL;Счётчики энергии крупных потребителей;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Electrical architecture;"E01 сухое электротехническое пространство; стартовые цепи локально; HYPOTHESIS_NOT_POSITIONED";IF-05 IF-06 IF-07 IF-08 IF-09;"Снять АКБ/инвертор без мебели; доступ к отключению и защитам; исключить капли из водяных узлов сверху";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-033;ELECTRICAL;Кабельные трассы проходки маркировка;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Electrical architecture;"E01 сухое электротехническое пространство; стартовые цепи локально; HYPOTHESIS_NOT_POSITIONED";IF-05 IF-06 IF-07 IF-08 IF-09;"Снять АКБ/инвертор без мебели; доступ к отключению и защитам; исключить капли из водяных узлов сверху";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-034;ELECTRICAL;Защитное заземление изоляция и контроль утечек;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Electrical architecture;"E01 сухое электротехническое пространство; стартовые цепи локально; HYPOTHESIS_NOT_POSITIONED";IF-05 IF-06 IF-07 IF-08 IF-09;"Снять АКБ/инвертор без мебели; доступ к отключению и защитам; исключить капли из водяных узлов сверху";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-035;FRESH_WATER;Насосный комплект пресной воды DC;1;шт/комплект — уточнить комплектность;24 VDC;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Freshwater system — redundant premium architecture;"W01 сервисная водяная зона отдельно от E01; HYPOTHESIS_NOT_POSITIONED";IF-06 IF-10 IF-11;"Снять любой насос при сохранении второго пути; очистить фильтры и обслужить арматуру без демонтажа койки";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-036;FRESH_WATER;Насосный комплект пресной воды AC;1;шт/комплект — уточнить комплектность;230 VAC;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Freshwater system — redundant premium architecture;"W01 сервисная водяная зона отдельно от E01; HYPOTHESIS_NOT_POSITIONED";IF-06 IF-10 IF-11;"Снять любой насос при сохранении второго пути; очистить фильтры и обслужить арматуру без демонтажа койки";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-037;FRESH_WATER;Независимый инвертор питания AC водяного насоса;1;шт/комплект — уточнить комплектность;от 24 VDC;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Freshwater system — redundant premium architecture;"W01 сервисная водяная зона отдельно от E01; HYPOTHESIS_NOT_POSITIONED";IF-06 IF-10 IF-11;"Снять любой насос при сохранении второго пути; очистить фильтры и обслужить арматуру без демонтажа койки";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-038;FRESH_WATER;Гидроаккумуляторы;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Freshwater system — redundant premium architecture;"W01 сервисная водяная зона отдельно от E01; HYPOTHESIS_NOT_POSITIONED";IF-06 IF-10 IF-11;"Снять любой насос при сохранении второго пути; очистить фильтры и обслужить арматуру без демонтажа койки";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-039;FRESH_WATER;Арматура изоляции байпаса выбора насоса;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Freshwater system — redundant premium architecture;"W01 сервисная водяная зона отдельно от E01; HYPOTHESIS_NOT_POSITIONED";IF-06 IF-10 IF-11;"Снять любой насос при сохранении второго пути; очистить фильтры и обслужить арматуру без демонтажа койки";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-040;FRESH_WATER;Промывные предфильтры и датчики давления;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Freshwater system — redundant premium architecture;"W01 сервисная водяная зона отдельно от E01; HYPOTHESIS_NOT_POSITIONED";IF-06 IF-10 IF-11;"Снять любой насос при сохранении второго пути; очистить фильтры и обслужить арматуру без демонтажа койки";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-041;FRESH_WATER;Доступные распределительные коллекторы холодной/горячей воды;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Freshwater system — redundant premium architecture;"W01 сервисная водяная зона отдельно от E01; HYPOTHESIS_NOT_POSITIONED";IF-06 IF-10 IF-11;"Снять любой насос при сохранении второго пути; очистить фильтры и обслужить арматуру без демонтажа койки";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-042;FRESH_WATER;Кольцевые трубопроводы;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;OPTION_TO_STUDY;NOT_CHECKED;docs/16-premium-builder-specification.md#Freshwater system — redundant premium architecture;"W01 сервисная водяная зона отдельно от E01; HYPOTHESIS_NOT_POSITIONED";IF-06 IF-10 IF-11;"Снять любой насос при сохранении второго пути; очистить фильтры и обслужить арматуру без демонтажа койки";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-043;WATERMAKER;Обратноосмотический опреснитель;1;шт/комплект — уточнить комплектность;150 L/h nominal;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Watermaker;"W02 сервисная зона опреснителя; HYPOTHESIS_NOT_POSITIONED";IF-02 IF-06 IF-10 IF-12;"Выемка мембран и колб по инструкции изготовителя; место консервации; пробы воды и контроль отводов";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
EQ-044;WATERMAKER;Автоматическая промывка пресной водой;UNKNOWN;шт/комплект — уточнить комплектность;UNKNOWN;PROVISIONAL_DESIGN_TARGET;NOT_CHECKED;docs/16-premium-builder-specification.md#Watermaker;"W02 сервисная зона опреснителя; HYPOTHESIS_NOT_POSITIONED";IF-02 IF-06 IF-10 IF-12;"Выемка мембран и колб по инструкции изготовителя; место консервации; пробы воды и контроль отводов";UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;"NOT_CONFIRMED; в наличии только корпус";"NOT_SELECTED; RFQ после интерфейсных данных"
